category,mechanic,loaded,differential_transitions,exact_matches,status,evidence
core,ModelDb,true,0,0,loaded-not-differentially-verified,"578 cards; 80 encounters; 297 relics"
core,RNG,true,96,96,local-clone-exact-only,"native Rng next32 and RunRngSet shuffle next64 exact after restore"
run,Ironclad combat reconstruction,true,13,13,first-shipped-game-trace-exact,"NIBBITS_WEAK ascension 1 run; seed/RNG/gold/resources exact across reset and 12 actions"
combat,BygoneEffigyElite state,true,0,0,native-turn-locally-deterministic,"native creature setup and AI move roll; independent workers agree on state hashes"
combat,complete turn boundary,true,3,3,first-shipped-game-trace-exact,"turns 1->2->3->4; enemy attack/block interaction; energy and piles exact"
combat,Nibbits moves intents and powers,true,3,3,first-shipped-game-trace-exact,"BUTT_MOVE -> SLICE_MOVE -> HISS_MOVE -> BUTT_MOVE; Strength 2 gained after Hiss"
card,StrikeIronclad,true,4,4,first-shipped-game-trace-exact,"four native plays; base 6 and Vulnerable-amplified 9 damage; final creature removal"
card,DefendIronclad,true,3,3,first-shipped-game-trace-exact,"three native plays; block 0->5->10 and later 0->5; enemy damage absorption exact"
card,Bash,true,2,2,first-shipped-game-trace-exact,"two native plays; damage, two-energy cost, Vulnerable application and stacking exact"
power,Vulnerable,true,6,6,first-shipped-game-trace-exact,"amount 2->1->3->2; amplified Strike damage exact"
environment,persistent NDJSON worker,true,0,0,local-invariants-pass,"hello/reset/observe/legal_actions/step/fork/restore/close; process remains alive"
environment,replay branching,true,0,0,independent-workers-exact,"structured reset plus ordered action replay; exact expected-hash gate; portable Python branches"
environment,worker pool,true,0,0,measured-non-certifying,"1/2/4/8 isolated Godot processes; crash detection/replacement; pinned DLL/PCK hashes"
validation,real-game differential,true,13,13,first-shipped-game-trace-exact,"NIBBITS_WEAK: reset + 9 card plays + 3 complete turns through terminal victory; exact canonical observations; final hash 1FEA2F670B6BE0064F0510C2402B823BA5010F7FC322F38BDAC74B3153A327CA"
validation,trace exporter and comparator,true,13,13,first-shipped-game-trace-exact,"exact schema/build/cards/intents/powers/legal-actions observations; NIBBITS_WEAK trace certified"
validation,differential campaign aggregation,true,13,13,one-certifying-trace,"all discovered traces SHA-256 pinned and strict-replayed; aggregate scope remains explicitly non-global"
choice,CardSelectCmd asynchronous card choice,true,0,0,independent-workers-exact,"native selector suspension; stable options; resume continuation; pending-choice fork and replay"
choice,creature targeting,true,6,6,first-shipped-game-trace-exact,"four Strike and two Bash target actions matched native legal-action IDs and effects"
choice,synchronous reward/relic/rest/event choices,true,0,0,independent-workers-exact,"stable native card/relic/potion reward rest-site and event option actions; native continuations; exact reconstruction"
card,upgrades enchantments saved properties,true,0,0,independent-workers-exact,"native UpgradeInternal/EnchantInternal; named SavedProperty reconstruction; four-worker breadth acceptance"
relic,saved counters and hooks,true,0,0,independent-workers-exact,"native SavedProperty reconstruction; Pen Nib 7->8 through native attack hook"
potion,use discard targeting,true,0,0,independent-workers-exact,"native slots, IsValidTarget, UsePotionAction and DiscardPotionGameAction; Fire Potion deals native 20"
combat,death and terminal victory,true,1,1,first-shipped-game-trace-exact,"final Strike removes Nibbits from creature array and sets terminal/victory"
core,explicit RNG stream restore,true,0,0,independent-workers-exact,"native RunRngSet.LoadFromSerializable accepts named counters and rewind behavior"
validation,automated native card corpus,true,0,0,broad-native-execution-non-certifying,"578 catalog models: 518 runtime-playable cards executed; 58 context-dependent cards not legal in baseline; 2 non-runtime templates; zero execution errors"
validation,automated native encounter corpus,true,0,0,broad-native-execution-non-certifying,"all 80 shipped encounter models completed a native end-turn/enemy-turn/start-turn cycle without error"
combat,Osty summon family,true,0,0,automated-corpus-pass,"nine Osty-summoning cards execute shipped pet creation HP power history and hooks; scene-node scaling suppressed only"
combat,Kaiser Crab boss,true,0,0,automated-corpus-pass,"Crusher and Rocket powers and first-turn mechanics native; custom animated background suppressed"
run,native act map routing,true,0,0,independent-workers-exact,"shipped ActModel.CreateMap graph; 56 points; 16-coordinate path; stable legal children; depth-four restore exact across four workers; room entry not connected"
reward,regular card reward,true,0,0,independent-workers-exact,"native CardCreationOptions/CardFactory/CardReward generation; native pick adds one card; native skip adds none; selected and skipped restore exact across four workers"
choice,reconstructed run synchronizer binding,true,0,0,independent-workers-exact,"PlayerChoiceSynchronizer rebuilt against every reconstructed RunState; combat and reward choices replay exactly"
choice,blocking bundle option choice,true,0,0,independent-workers-exact,"Scroll Boxes acquired through recorded native RelicReward; two native bundles; local and cross-worker portable pending-handle replay; alternate bundle diverges"
choice,blocking relic option choice,true,0,0,native-ABI-acceptance,"RelicSelectCmd exposes two native relics plus shipped Skip and returns the exact selected relic instance; inspected build has no production caller"
choice,separate combat creature selector,false,6,6,not-present-in-shipped-build,"combat creature identity is part of native play-card legality; only separate Player target is multiplayer-only Mend and is unreachable in supported single-player runs"
run,native rest-site options,true,0,0,independent-workers-exact,"shipped RestSiteOption.Generate; native Heal and Smith continuations; Smith suspends through native CardSelectCmd; exact restore"
run,native event options,true,0,0,independent-workers-exact,"shipped EventModel.BeginEvent and EventOption.Chosen; THIS_OR_THAT native HP/gold effects exact across four workers; 41 of 57 catalog events initialize and 16 reject through native IsAllowed"
reward,relic and potion rewards,true,0,0,independent-workers-exact,"native RelicReward/PotionReward Populate and SelectUnsynchronized; deterministic inventory mutation and exact restore across four workers"
run,composed map combat reward exit cycle,true,0,0,independent-workers-exact,"RunManager native room roll/construction/hooks; Nibbit combat; native gold/card room rewards; CombatRoom.Exit; return to child map choices; deep restore exact"
run,composed event entry choice exit cycle,true,0,0,independent-workers-exact,"Unknown node natively rolled Brain Leech; EventSynchronizer options; suspended native card choice; EventRoom.Exit; returned map; four-worker deep restore exact"
run,composed utility rooms,true,0,0,independent-workers-exact,"Real nine-floor native path; shop card purchase and blocking removal; rest selection; treasure gold/relic; room exits; four-worker deep restore exact"
run,event-created combat,true,0,0,independent-workers-exact,"Real Dense Vegetation map draw; shipped rest/heal and Fight continuation; nested CombatRoom; native combat/rewards; returned map; deep restore exact"
run,custom and linked reward screens,true,0,0,independent-workers-exact,"Real event single/multi rewards plus isolated shipped LinkedRewardSet; blocking CardRemovalReward; alternative potion; native RewardsSetSynchronizer/hooks; four-worker deep restore exact"
environment,reconstructed run service binding,true,0,0,independent-workers-exact,"fresh shipped test RunManager services and net service bind action queues event/reward/rest/choice synchronizers to every reconstructed RunState"
run,seeded full Act 1 traversal,true,0,0,independent-workers-exact,"sixteen generated 16-floor routes through native bosses; 2994 decisions; four-worker 196-decision repeat hash 068A5B8B4A6C416313314AFB7CFDAE5D84C2C43A5585466D2E00B60E9F24F8C2; native loss serialization/termination also exercised"
performance,full Act search boundary,true,0,0,deterministic-local,"196-action native route; reconstruction at depths 0/16/64/128/195 separated from resident steps and complete fork-step-restore; bounded 20-cycle depth-64 memory run"
search,portable native branch coordinator,true,0,0,independent-workers-exact,"reset provenance preserved for all eight environment modes after a native step; depth-16 composed-run root expanded across four workers; hash-gated native children and rankings repeat exactly; source root restored"
search,budgeted multi-ply native search,true,0,0,deterministic-local,"explicit depth/node/beam budgets; portable native child branches; state-hash transposition reuse; repeated depth-2 eight-node result exact; source root preserved"
policy,native scoring feature snapshot,true,0,0,independent-workers-exact,"auxiliary non-hashed native HP/block/inventory/act/energy/creature/power features agree after cross-worker restore in all eight environment modes; canonical hashes unchanged"
policy,provenance-gated native value smoke model,true,0,0,native-terminal-smoke,"old approximate-simulator checkpoints rejected; assembly/PCK pinned; eight native terminal combats; 17 training and 5 held-out trajectory states; integration-only 5/5 held-out classification"
